rainfall,temperature,soil_ph,fertilizer_used,crop_type,irrigation_type,crop_yield
1260,18.42889568776691,6.804482015811239,198,Soybean,Drip Irrigation,56.30714950532917
1495,38.51234452229676,6.23920609971732,196,Rice,Flood Irrigation,94.54493771684312
1444,36.70791351672749,7.957306953022599,109,Maize,Sprinkler Irrigation,80.56125091849493
521,23.669702583571382,7.898247636906937,142,Soybean,Flood Irrigation,52.47310661828955
866,28.603977934046103,7.58408941256328,266,Soybean,Drip Irrigation,72.46457769915513
730,18.32143548943398,6.316435411689888,210,Rice,Drip Irrigation,48.47529459615071
487,15.64363479171284,7.270692000607261,98,Rice,Sprinkler Irrigation,25.846346279920446
1271,23.910952148199463,6.582921690820081,273,Soybean,Sprinkler Irrigation,75.23380063444934
530,20.600566840781585,5.774746219979902,290,Wheat,Flood Irrigation,54.40453397300952
1169,27.509683355526164,8.251940726386728,84,Soybean,Sprinkler Irrigation,56.68502219626083
743,12.332039108949544,5.910455892756884,221,Soybean,Sprinkler Irrigation,43.37704843562048
1205,39.23184422998499,8.350712061462406,151,Rice,Drip Irrigation,89.55397696527342
785,39.586322334388086,6.838017318873867,267,Rice,Sprinkler Irrigation,87.6854431708798
1355,30.944851420592357,6.055398786515859,60,Soybean,Sprinkler Irrigation,57.78403875261256
676,26.08289099032361,7.125702842135075,148,Soybean,Drip Irrigation,66.56048565319765
859,19.285828488589832,8.118837507629225,249,Soybean,Drip Irrigation,59.55523637340679
421,34.41385059120846,7.696674659228684,159,Rice,Flood Irrigation,70.95917028883325
652,30.541935176616377,7.919683443584349,255,Soybean,Sprinkler Irrigation,62.72693594283345
1147,14.878508180346738,7.476350100132151,123,Soybean,Drip Irrigation,41.49592816397434
1256,37.32781553481527,7.576829693553558,243,Barley,Flood Irrigation,93.6300701225874
874,34.67611728769507,8.047586954695959,223,Wheat,Flood Irrigation,78.38095888357299
1482,38.49399739875772,6.249004026577558,58,Maize,Sprinkler Irrigation,82.21767658177922
910,31.7715852516508,6.968274890929422,52,Wheat,Sprinkler Irrigation,46.12277450311458
1099,28.40245587807369,6.163628325458807,134,Barley,Flood Irrigation,57.09422987837136
1375,22.547291088718566,8.46300402398994,75,Maize,Drip Irrigation,59.48252913041733
589,37.9818545006204,8.332178019059839,121,Soybean,Flood Irrigation,72.66507337715937
1357,35.98191668501225,5.618280434105518,97,Barley,Sprinkler Irrigation,79.04305770212538
1086,11.356560103185682,7.616725517547065,243,Soybean,Drip Irrigation,54.7735264917163
1357,10.79100923491756,8.275744952246997,247,Rice,Drip Irrigation,46.358885117165855
962,21.29390100634149,6.041726035382,205,Barley,Flood Irrigation,55.62526917140482
1231,34.31659992345499,7.203835691657888,166,Rice,Sprinkler Irrigation,72.77582689255095
1046,39.618283879448335,8.246464892764125,270,Barley,Flood Irrigation,86.60489830520102
420,14.512506733105845,5.601837935757397,203,Barley,Flood Irrigation,42.87856427575707
1240,27.82392146056405,7.59226080174052,202,Rice,Flood Irrigation,67.23959872204783
566,21.42672569893065,6.392047022117652,61,Maize,Drip Irrigation,47.97470970379999
787,39.09743193443809,8.273188586129592,182,Wheat,Drip Irrigation,78.34012376113515
1000,35.263567694071256,8.413174735496103,275,Soybean,Sprinkler Irrigation,88.99163730259014
715,35.149861141334135,8.332799467340301,97,Barley,Sprinkler Irrigation,62.50889569132097
413,24.06079479384911,6.922642649972391,86,Soybean,Flood Irrigation,45.17725514312527
641,22.444585070129957,8.08612795296794,256,Rice,Flood Irrigation,51.57462170156631
1176,18.20221215792119,8.033648195605211,93,Soybean,Flood Irrigation,51.290689536669134
964,11.691264899527813,6.457301419729767,277,Rice,Sprinkler Irrigation,52.30698893778938
1297,35.9416712876516,7.986746422452033,64,Soybean,Drip Irrigation,76.32534464141703
491,34.387030273902326,5.611022904146478,92,Wheat,Drip Irrigation,52.18067933567961
1355,39.99153019858392,7.288809635446159,225,Wheat,Flood Irrigation,95.91259206002536
908,39.89910511221716,6.190026511863109,136,Wheat,Flood Irrigation,79.95479822850785
1175,26.662951168078823,5.861700657331836,119,Wheat,Flood Irrigation,60.57484311255736
434,33.06962245541531,5.730859604887628,95,Wheat,Flood Irrigation,57.88830862208404
605,38.34297189647284,7.5888663276344195,291,Wheat,Sprinkler Irrigation,91.23475942944798
1425,35.48942172032234,6.519624891304199,157,Rice,Drip Irrigation,80.9141210030595
1421,17.42044305229593,7.674300314586285,172,Barley,Flood Irrigation,61.21133573029603
965,23.516324059302804,5.696069022396827,220,Soybean,Sprinkler Irrigation,59.545232763428
1102,13.87478245454485,6.445871013491831,286,Wheat,Flood Irrigation,69.1076546280459
801,38.62153081776167,7.118473877126012,70,Rice,Flood Irrigation,70.63835006457401
1129,28.1852390335264,7.872169494516891,200,Rice,Drip Irrigation,77.73910622254868
561,16.85928416510388,6.4562575087962095,156,Rice,Flood Irrigation,42.55671382553224
601,30.151020532175703,7.3776741293110275,296,Barley,Drip Irrigation,74.0442484282883
1395,28.543847213736875,8.15793324470856,129,Soybean,Drip Irrigation,71.26456903361779
669,20.74488154098521,7.347589564546913,96,Barley,Drip Irrigation,38.719905865613136
1215,13.40672776598887,6.198878424260902,166,Maize,Sprinkler Irrigation,40.5231652726699
855,30.14719586778399,5.573202344669614,173,Rice,Sprinkler Irrigation,70.71138584467072
1416,25.6092310271138,8.11029662170279,192,Maize,Drip Irrigation,65.93573662426634
695,33.16955175206918,5.563808232551161,74,Wheat,Flood Irrigation,54.41840158610444
1119,25.604905033359803,8.124105018052598,85,Wheat,Drip Irrigation,56.22061335612756
737,35.5654450095562,7.086811402081636,252,Barley,Flood Irrigation,77.71900233567256
1278,26.557205163234567,8.317203095538689,100,Soybean,Drip Irrigation,63.89992358680293
1476,26.828139146061588,7.896349707320996,64,Maize,Flood Irrigation,56.42480546065504
1191,36.29960807975035,8.493802331600012,117,Soybean,Sprinkler Irrigation,70.62766257385636
616,22.104485986371916,6.5521354463551305,70,Barley,Flood Irrigation,45.123938218354574
1163,14.02045685351922,7.801564866793381,190,Wheat,Drip Irrigation,49.08676885168012
587,10.863480289400169,6.705792740827727,263,Soybean,Sprinkler Irrigation,33.5369947479141
779,32.65411767020857,6.939626860911726,68,Soybean,Flood Irrigation,58.77072719778997
892,28.60928654060394,7.382516389655111,83,Wheat,Flood Irrigation,61.69508977453971
1464,31.122393042976707,8.121031342559016,127,Maize,Flood Irrigation,70.02863965623969
414,16.388924845267322,8.452250407597885,174,Wheat,Flood Irrigation,36.34917493496976
464,14.091144267603092,7.804820241593554,245,Soybean,Flood Irrigation,35.06014134243801
920,10.43633997003646,6.753300346502002,289,Maize,Sprinkler Irrigation,48.76399288720354
1047,20.51762676419791,6.764071006831211,166,Maize,Sprinkler Irrigation,60.237475814886615
1486,27.697530605638992,7.712746904766675,101,Wheat,Sprinkler Irrigation,67.0369604377
992,21.76732135299197,6.216331437304907,287,Soybean,Sprinkler Irrigation,75.20466846845632
791,23.124247660711877,5.831422339394184,76,Barley,Drip Irrigation,48.57003883341875
818,37.12476083481245,6.56386647292233,206,Soybean,Sprinkler Irrigation,90.6131066923782
688,20.44766401069901,6.3617169749622455,288,Rice,Flood Irrigation,52.68349522002768
778,25.419684674794325,6.3889243613679705,205,Barley,Flood Irrigation,60.32571153915072
630,33.50959038223429,6.20082325314973,84,Maize,Sprinkler Irrigation,53.440070100591726
1417,21.896283469638107,5.626279568909085,185,Barley,Flood Irrigation,63.35062019434774
440,28.662601006836205,5.553621804200241,193,Maize,Sprinkler Irrigation,54.95073943282362
1451,35.87091126240236,8.463167169208095,155,Maize,Flood Irrigation,82.23866166544346
534,38.48561870972927,6.783319401207587,213,Barley,Drip Irrigation,77.27329393628806
600,14.41220442787114,6.652979941479045,207,Maize,Drip Irrigation,43.149626383824206
1179,37.79762875484484,7.53894184807921,195,Maize,Sprinkler Irrigation,79.08325663538608
1329,24.763488792386145,6.154761663595193,51,Rice,Sprinkler Irrigation,54.89458576639739
1456,17.74733164896875,8.349883551850676,226,Soybean,Sprinkler Irrigation,56.819757170969936
1471,23.77407268714784,7.859035043246656,126,Soybean,Flood Irrigation,66.64244672558704
902,39.40097725856431,5.768233006936779,181,Rice,Sprinkler Irrigation,79.35366212306803
806,24.77854281978609,6.752742327354785,139,Barley,Drip Irrigation,52.613768814990166
1204,19.862548308625247,8.137354922686495,138,Wheat,Flood Irrigation,54.20064482418041
498,29.002025629501773,8.334196066874231,143,Wheat,Sprinkler Irrigation,48.01650293801638
1083,17.204368563345792,6.902204533749609,252,Wheat,Flood Irrigation,62.33153600242273
1125,12.275899843259918,7.340234167632123,56,Rice,Flood Irrigation,39.81378010729138
1360,13.866391657319475,6.001101838276226,144,Rice,Sprinkler Irrigation,51.34594245305439
1012,13.841375168733173,8.47350587841093,157,Maize,Flood Irrigation,44.26310556911994
1042,14.55708080536883,6.19501510415033,123,Wheat,Drip Irrigation,32.21848655507067
1428,14.164815179482304,8.328195322405378,88,Barley,Drip Irrigation,39.80557249017345
902,29.22624234409644,7.448939946977106,190,Barley,Flood Irrigation,66.90598770683532
1166,15.456402531974344,7.323210384636577,208,Wheat,Sprinkler Irrigation,47.39335763668682
797,20.370018499715897,7.038065533049526,120,Wheat,Flood Irrigation,45.45714336049525
1270,36.90365229718036,6.192009435153276,240,Wheat,Drip Irrigation,97.67116235575976
1194,24.218849207886173,6.029584096016524,105,Rice,Flood Irrigation,49.2513024797461
792,30.02673215563081,6.161458627210526,290,Rice,Flood Irrigation,71.61181665000592
606,15.169596136048895,6.059314786432764,219,Rice,Drip Irrigation,45.57983098502874
1438,15.768670564260123,7.83875342070026,238,Soybean,Flood Irrigation,62.83759765218991
1291,11.226058487994363,6.55037577750019,91,Barley,Flood Irrigation,42.34873805153943
1263,15.068051892164936,5.673528029690189,233,Barley,Sprinkler Irrigation,60.36946917330586
1142,18.35771017095876,8.407307890422434,85,Maize,Sprinkler Irrigation,44.36951150067232
963,15.310314528302404,8.151357654890276,133,Rice,Drip Irrigation,43.74016002537645
1420,12.661076012711668,8.283256849585639,245,Soybean,Drip Irrigation,53.25280981104459
495,13.619076133018025,8.484723467939306,167,Soybean,Drip Irrigation,27.01623683361632
884,23.82336304098177,6.021685747658462,56,Barley,Sprinkler Irrigation,46.1291399114814
630,16.190011552173775,6.688726056707976,103,Rice,Drip Irrigation,34.80500492623178
1148,20.928095831442263,7.774715427112274,178,Maize,Drip Irrigation,53.31134567693226
